""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	Parent	CBS1513	protein_ID	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Status	Organism	Length	EC number	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Function [CC]	Catalytic activity	Absorption	Cofactor	General annotation (ENZYME REGULATION)	Kinetics	Pathway	Redox potential	Temperature dependence	pH dependence	Subcellular location [CC]	Intramembrane	Transmembrane	Subunit structure [CC]	Interacts with	Tissue specificity
SPGP0CZ00130	6961.13302566837	1.37653367717689	0.239257851953268	5.75334797140015	8.74931318004259e-09	7.76469409641194e-08	S_eubayanus	SPGP0CZ00130	XP_018220842.1	A0A0L8RFA0	A0A0L8RFA0_SACEU	DI49_3167				DI49_3167	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	294																				
SPGP0CZ00200	3542.2029418973	1.05823589887012	0.143442768930107	7.37740847282267	1.61400251670758e-13	2.73354706614717e-12	S_eubayanus	SPGP0CZ00200	XP_018220848.1	A0A0L8RFD8	A0A0L8RFD8_SACEU	DI49_3173				DI49_3173	TRP3-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	484		glutamine metabolic process [GO:0006541]; tryptophan biosynthetic process [GO:0000162]	anthranilate synthase activity [GO:0004049]; indole-3-glycerol-phosphate synthase activity [GO:0004425]	anthranilate synthase complex [GO:0005950]																
SPGP0CZ00340	383.360256052976	-1.08994791547343	0.174126530132871	-6.25951665516864	3.86172492211117e-10	4.30394705033817e-09	S_eubayanus	SPGP0CZ00340	XP_018220860.1	A0A0L8RFK4	A0A0L8RFK4_SACEU	DI49_3187				DI49_3187	MST1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	462		mitochondrial threonyl-tRNA aminoacylation [GO:0070159]	ATP binding [GO:0005524]; threonine-tRNA ligase activity [GO:0004829]	mitochondrion [GO:0005739]																
SPGP0CZ00410	1246.2622306276	-1.00328989347606	0.169858658850345	-5.9066161258227	3.4920616901062e-09	3.29599697646378e-08	S_eubayanus	SPGP0CZ00410	XP_018220867.1	A0A0L8RFD9	A0A0L8RFD9_SACEU	DI49_3195				DI49_3195	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	752		long-chain fatty acid transport [GO:0015909]		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]													"TRANSMEM 15..36;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 546..568;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 577..605;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 625..649;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
SPGP0CZ00420	62.2520168422533	1.32681555857373	0.29823536216745	4.44888744557649	8.63162315340209e-06	4.58716348345902e-05	S_eubayanus	SPGP0CZ00420	XP_018220868.1	A0A0L8RFF7	A0A0L8RFF7_SACEU	DI49_3196				DI49_3196	MTR2-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	185		poly(A)+ mRNA export from nucleus [GO:0016973]; ribosomal large subunit export from nucleus [GO:0000055]; ribosomal small subunit export from nucleus [GO:0000056]		nuclear RNA export factor complex [GO:0042272]																
SPGP0CZ00640	79.2492134728049	1.72504353577393	0.300994394040551	5.73114838657604	9.97529519136304e-09	8.77535434261559e-08	S_eubayanus	SPGP0CZ00640	XP_018220890.1	A0A0L8RFN1	A0A0L8RFN1_SACEU	DI49_3219				DI49_3219	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	253			structural constituent of cell wall [GO:0005199]	cell wall [GO:0005618]																
SPGP0CZ00650	529.491867983374	-1.19955333640942	0.270745846978361	-4.4305511969877	9.39925279897228e-06	4.95731255014481e-05	S_eubayanus	SPGP0CZ00650	XP_018220891.1	A0A0L8RFG1	A0A0L8RFG1_SACEU	DI49_3220				DI49_3220	Protein arginine methyltransferase NDUFAF7 (EC 2.1.1.320)	unreviewed	Saccharomyces eubayanus (Yeast)	401	2.1.1.320		protein-arginine omega-N symmetric methyltransferase activity [GO:0035243]	mitochondrion [GO:0005739]	FUNCTION: Arginine methyltransferase involved in the assembly or stability of mitochondrial NADH:ubiquinone oxidoreductase complex (complex I). {ECO:0000256|RuleBase:RU364114}.	CATALYTIC ACTIVITY: Reaction=L-arginyl-[protein] + 2 S-adenosyl-L-methionine = 2 H(+) + N(omega),N(omega)'-dimethyl-L-arginyl-[protein] + 2 S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:48108, Rhea:RHEA-COMP:10532, Rhea:RHEA-COMP:11992, ChEBI:CHEBI:15378, ChEBI:CHEBI:29965, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:88221; EC=2.1.1.320; Evidence={ECO:0000256|RuleBase:RU364114};									SUBCELLULAR LOCATION: Mitochondrion {ECO:0000256|RuleBase:RU364114}.					
SPGP0CZ00670	59.9727352823198	2.20079667330088	0.321206243946468	6.85166217898199	7.29967781095835e-12	1.00607610272455e-10	S_eubayanus	SPGP0CZ00670	XP_018220893.1	A0A0L8RFH7	A0A0L8RFH7_SACEU	DI49_3222				DI49_3222	Transcription elongation factor 1 homolog	unreviewed	Saccharomyces eubayanus (Yeast)	146		chromatin-mediated maintenance of transcription [GO:0048096]; transcription elongation from RNA polymerase II promoter [GO:0006368]	metal ion binding [GO:0046872]; RNA polymerase II complex binding [GO:0000993]	transcription elongation factor complex [GO:0008023]	FUNCTION: Transcription elongation factor implicated in the maintenance of proper chromatin structure in actively transcribed regions. {ECO:0000256|RuleBase:RU364033}.										SUBCELLULAR LOCATION: Nucleus {ECO:0000256|RuleBase:RU364033}.					
SPGP0CZ00710	72.4308138670391	-1.25815926075851	0.28577650011733	-4.40259874497011	1.06961880723621e-05	5.58606110222899e-05	S_eubayanus	SPGP0CZ00710	XP_018220896.1	A0A0L8RFG5	A0A0L8RFG5_SACEU	DI49_3225				DI49_3225	RSM22-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	629		translation [GO:0006412]	methyltransferase activity [GO:0008168]; structural constituent of ribosome [GO:0003735]	mitochondrial small ribosomal subunit [GO:0005763]																
SPGP0CZ00730	350.67506938816	-1.07764424070697	0.140309717806515	-7.68046759379149	1.58508942172664e-14	3.01100529355662e-13	S_eubayanus	SPGP0CZ00730	XP_018220898.1	A0A0L8RFH9	A0A0L8RFH9_SACEU	DI49_3228				DI49_3228	Phosphoglycerate mutase (EC 5.4.2.11)	unreviewed	Saccharomyces eubayanus (Yeast)	247	5.4.2.11	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	phosphoglycerate mutase activity [GO:0004619]	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]		CATALYTIC ACTIVITY: Reaction=(2R)-2-phosphoglycerate = (2R)-3-phosphoglycerate; Xref=Rhea:RHEA:15901, ChEBI:CHEBI:58272, ChEBI:CHEBI:58289; EC=5.4.2.11; Evidence={ECO:0000256|RuleBase:RU004511};					PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 3/5. {ECO:0000256|RuleBase:RU004511}.									
