""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	Parent	CBS1513	protein_ID	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Status	Organism	Length	EC number	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Function [CC]	Catalytic activity	Absorption	Cofactor	General annotation (ENZYME REGULATION)	Kinetics	Pathway	Redox potential	Temperature dependence	pH dependence	Subcellular location [CC]	Intramembrane	Transmembrane	Subunit structure [CC]	Interacts with	Tissue specificity
SPGP0CZ00100	620.452633215157	1.84952925982208	0.309147695162092	5.98267200036003	2.19506515487213e-09	1.68616767216736e-08	S_cerevisiae	SPGP0CZ00100	P40103	P40103	YE18_YEAST	YER188W			YER188W		Uncharacterized protein YER188W	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	239																				
SPGP0CZ00110	146.398758446684	1.81714086405135	0.201544510612028	9.01607718579509	1.94945074638535e-19	4.80396649262588e-18	
SPGP0CZ00120	88.1083967142087	2.12561899521916	0.32119543468948	6.61783688573946	3.64492880143375e-11	3.54390468487185e-10	
SPGP0CZ00140	11208.0048160465	3.77275180025317	0.300620217096727	12.549893805177	3.98043487249311e-36	3.5711843356028e-34	S_eubayanus	SPGP0CZ00140	XP_018220843.1	A0A0L8RFB6	A0A0L8RFB6_SACEU	DI49_3168				DI49_3168	MFS domain-containing protein	unreviewed	Saccharomyces eubayanus (Yeast)	615		plasma membrane lactate transport [GO:0035879]; plasma membrane pyruvate transport [GO:0006849]; plasma membrane selenite transport [GO:0097080]	secondary active monocarboxylate transmembrane transporter activity [GO:0015355]; selenite:proton symporter activity [GO:0097079]; sialic acid transmembrane transporter activity [GO:0015136]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]													"TRANSMEM 140..164;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 176..198;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 205..224;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 230..251;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 263..284;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 296..315;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 363..382;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 402..420;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 432..450;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 456..477;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 489..509;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 532..554;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
SPGP0CZ00200	3542.2029418973	1.33159951135183	0.143412113857273	9.28512575079299	1.61516336858019e-20	4.46877984702081e-19	S_eubayanus	SPGP0CZ00200	XP_018220848.1	A0A0L8RFD8	A0A0L8RFD8_SACEU	DI49_3173				DI49_3173	TRP3-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	484		glutamine metabolic process [GO:0006541]; tryptophan biosynthetic process [GO:0000162]	anthranilate synthase activity [GO:0004049]; indole-3-glycerol-phosphate synthase activity [GO:0004425]	anthranilate synthase complex [GO:0005950]																
SPGP0CZ00290	4234.39613845911	1.20184599246471	0.109248955960628	11.000983779633	3.77985489011016e-28	1.95137648265408e-26	S_eubayanus	SPGP0CZ00290	XP_018220856.1	A0A0L8RFC9	A0A0L8RFC9_SACEU	DI49_3182				DI49_3182	MNN4-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	1222		protein N-linked glycosylation [GO:0006487]; protein O-linked glycosylation [GO:0006493]	enzyme activator activity [GO:0008047]	integral component of membrane [GO:0016021]													"TRANSMEM 28..45;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
SPGP0CZ00400	737.762527145274	1.09788193476021	0.24560900802747	4.47003936694949	7.82052013889619e-06	3.5706238440484e-05	S_eubayanus	SPGP0CZ00400	XP_018220866.1	A0A0L8RFD6	A0A0L8RFD6_SACEU	DI49_3194				DI49_3194	PXA2-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	858		fatty acid beta-oxidation [GO:0006635]; fatty-acyl-CoA transport [GO:0015916]; long-chain fatty acid catabolic process [GO:0042758]; long-chain fatty acid import into peroxisome [GO:0015910]; very long-chain fatty acid catabolic process [GO:0042760]	ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]; long-chain fatty acid transporter activity [GO:0005324]	integral component of peroxisomal membrane [GO:0005779]																
SPGP0CZ00410	1246.2622306276	2.21124204402202	0.170876858887177	12.940558823603	2.65689822252705e-38	2.9229043421872e-36	S_eubayanus	SPGP0CZ00410	XP_018220867.1	A0A0L8RFD9	A0A0L8RFD9_SACEU	DI49_3195				DI49_3195	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	752		long-chain fatty acid transport [GO:0015909]		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]													"TRANSMEM 15..36;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 546..568;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 577..605;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 625..649;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
SPGP0CZ00420	62.2520168422533	1.22116930383972	0.276439095398458	4.41749855272652	9.98497389548918e-06	4.47266814193968e-05	S_eubayanus	SPGP0CZ00420	XP_018220868.1	A0A0L8RFF7	A0A0L8RFF7_SACEU	DI49_3196				DI49_3196	MTR2-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	185		poly(A)+ mRNA export from nucleus [GO:0016973]; ribosomal large subunit export from nucleus [GO:0000055]; ribosomal small subunit export from nucleus [GO:0000056]		nuclear RNA export factor complex [GO:0042272]																
SPGP0CZ00500	871.941707499328	-1.0534652404753	0.20432237320215	-5.15589763355496	2.52418773378292e-07	1.47353246038458e-06	S_eubayanus	SPGP0CZ00500	XP_018220876.1	A0A0L8RFE6	A0A0L8RFE6_SACEU	DI49_3204				DI49_3204	STE3-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	470		cytogamy [GO:0000755]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]	mating-type a-factor pheromone receptor activity [GO:0004933]	integral component of plasma membrane [GO:0005887]; vacuolar lumen [GO:0005775]													"TRANSMEM 6..24;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 31..55;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 75..96;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 117..141;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 161..184;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 205..226;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 265..286;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
SPGP0CZ00630	26.0945360602666	-2.22988406664791	0.392724662724142	-5.67798327505149	1.36292036862235e-08	9.54794251325331e-08	
SPGP0CZ00640	79.2492134728049	1.58415267759004	0.26905924884026	5.88774660011984	3.91496760886638e-09	2.92231144374267e-08	S_eubayanus	SPGP0CZ00640	XP_018220890.1	A0A0L8RFN1	A0A0L8RFN1_SACEU	DI49_3219				DI49_3219	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	253			structural constituent of cell wall [GO:0005199]	cell wall [GO:0005618]																
SPGP0CZ00760	859.790891290655	1.06940226962109	0.140581237093133	7.607005683928	2.80518979895836e-14	3.84610666649469e-13	S_eubayanus	SPGP0CZ00760	XP_018220901.1	A0A0L8RFG8	A0A0L8RFG8_SACEU	DI49_3231				DI49_3231	DBR1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	406		mRNA splicing, via spliceosome [GO:0000398]; pseudohyphal growth [GO:0007124]; RNA catabolic process [GO:0006401]; snoRNA metabolic process [GO:0016074]; transposition, RNA-mediated [GO:0032197]	RNA lariat debranching enzyme activity [GO:0008419]																	
SPGP0CZ00840	16482.7720387967	1.04397710554545	0.140832326364246	7.41290819016459	1.23559428028126e-13	1.56842400330757e-12	S_eubayanus	SPGP0CZ00840	XP_018220909.1	A0A0L8RG77	A0A0L8RG77_SACEU	DI49_3239				DI49_3239	TGL1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	549		cellular lipid metabolic process [GO:0044255]; sterol metabolic process [GO:0016125]	sterol esterase activity [GO:0004771]	integral component of membrane [GO:0016021]; lipid droplet [GO:0005811]																
SPGP0CZ00880	330.864247669813	-1.25402897429678	0.179873608824516	-6.97172299200491	3.13082565149131e-12	3.48998309353814e-11	S_eubayanus	SPGP0CZ00880	XP_018220913.1	A0A0L8RFJ1	A0A0L8RFJ1_SACEU	DI49_3243				DI49_3243	COX assembly mitochondrial protein	unreviewed	Saccharomyces eubayanus (Yeast)	111		mitochondrial respiratory chain complex IV assembly [GO:0033617]	copper ion binding [GO:0005507]	extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial intermembrane space [GO:0005758]	FUNCTION: Required for mitochondrial cytochrome c oxidase (COX) assembly and respiration. {ECO:0000256|RuleBase:RU364104}.										SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000256|RuleBase:RU364104}.					
SPGP0CZ00960	80.5600036374956	1.42090765056216	0.200827647379506	7.07525915431883	1.49169725228712e-12	1.71239432402302e-11	S_eubayanus	SPGP0CZ00960	XP_018220921.1	A0A0L8RFI3	A0A0L8RFI3_SACEU	DI49_3252				DI49_3252	PGM1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	570		galactose catabolic process [GO:0019388]; glucose 1-phosphate metabolic process [GO:0019255]; glucose 6-phosphate metabolic process [GO:0051156]; glycogen biosynthetic process [GO:0005978]; trehalose biosynthetic process [GO:0005992]; UDP-glucose metabolic process [GO:0006011]	magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]	cytoplasm [GO:0005737]																
SPGP0CZ01130	629.898257353516	-1.329687675086	0.18117900828846	-7.33908242266661	2.1506314645073e-13	2.66407310502842e-12	S_eubayanus	SPGP0CZ01130	XP_018220938.1	A0A0L8RFL6	A0A0L8RFL6_SACEU	DI49_3270				DI49_3270	Aspartate aminotransferase (EC 2.6.1.1)	unreviewed	Saccharomyces eubayanus (Yeast)	451	2.6.1.1	biosynthetic process [GO:0009058]; cellular amino acid metabolic process [GO:0006520]; chronological cell aging [GO:0001300]; replicative cell aging [GO:0001302]	L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; pyridoxal phosphate binding [GO:0030170]	mitochondrion [GO:0005739]		CATALYTIC ACTIVITY: Reaction=2-oxoglutarate + L-aspartate = L-glutamate + oxaloacetate; Xref=Rhea:RHEA:21824, ChEBI:CHEBI:16452, ChEBI:CHEBI:16810, ChEBI:CHEBI:29985, ChEBI:CHEBI:29991; EC=2.6.1.1; Evidence={ECO:0000256|RuleBase:RU000480};												SUBUNIT: Homodimer. {ECO:0000256|RuleBase:RU000480}.		
SPGP0CZ01280	46.8256452946216	1.27629453283309	0.267247273504308	4.77570646876033	1.79077446742175e-06	9.15295733044492e-06	S_eubayanus	SPGP0CZ01280	XP_018220953.1	A0A0L8RFN0	A0A0L8RFN0_SACEU	DI49_3285				DI49_3285	CUE2-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	440		mRNA cleavage [GO:0006379]; nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]	endonuclease activity [GO:0004519]; ubiquitin binding [GO:0043130]																	
SPGP0CZ01360	4534.74880272241	1.39359062504907	0.133629206670212	10.4287876862755	1.83210833142301e-25	7.83820050494446e-24	
SPGP0CZ01460	21.1122837081896	1.75080639890199	0.380630241092246	4.59975642996187	4.22985218889072e-06	2.02214506350435e-05	S_eubayanus	SPGP0CZ01460	XP_018220970.1	A0A0L8RFV8	A0A0L8RFV8_SACEU	DI49_3304				DI49_3304	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	79																				
SPGP0CZ01490	432.961255822529	-1.19723808275056	0.196130444626273	-6.10429495039335	1.03255454530035e-09	8.37738064365283e-09	S_eubayanus	SPGP0CZ01490	XP_018220973.1	A0A0L8RFQ1	A0A0L8RFQ1_SACEU	DI49_3308				DI49_3308	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	73				integral component of membrane [GO:0016021]													"TRANSMEM 37..54;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
SPGP0CZ01540	47.2482885523783	1.16514628978258	0.253080101004786	4.60386369831797	4.14723947182881e-06	1.9847042961766e-05	S_eubayanus	SPGP0CZ01540	XP_018220978.1	A0A0L8RFQ6	A0A0L8RFQ6_SACEU	DI49_3313				DI49_3313	BLI1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	113		endosome organization [GO:0007032]; regulation of protein localization [GO:0032880]		BLOC-1 complex [GO:0031083]																
SPGP0CZ01570	313.912759687421	1.66686875336294	0.709698118294203	2.34870110318081	0.0188390228685402	0.0420697054488375	S_eubayanus	SPGP0CZ01570	XP_018220981.1	A0A0L8RFN8	A0A0L8RFN8_SACEU	DI49_3316				DI49_3316	Transcription initiation factor IIA subunit 2	unreviewed	Saccharomyces eubayanus (Yeast)	122		RNA polymerase II preinitiation complex assembly [GO:0051123]	RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; TBP-class protein binding [GO:0017025]	transcription factor TFIIA complex [GO:0005672]	FUNCTION: TFIIA is a component of the transcription machinery of RNA polymerase II and plays an important role in transcriptional activation. {ECO:0000256|PIRNR:PIRNR009415}.										SUBCELLULAR LOCATION: Nucleus {ECO:0000256|PIRNR:PIRNR009415}.					
SPGP0CZ01600	328.325977428651	-1.29211241310159	0.243122924267636	-5.31464655994019	1.06864542540276e-07	6.62775327258183e-07	S_eubayanus	SPGP0CZ01600	XP_018220984.1	A0A0L8RGE2	A0A0L8RGE2_SACEU	DI49_3319				DI49_3319	OAR1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	278		aerobic respiration [GO:0009060]; fatty acid metabolic process [GO:0006631]	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]	mitochondrion [GO:0005739]																
