""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	Parent	CBS1513	protein_ID	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Status	Organism	Length	EC number	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Function [CC]	Catalytic activity	Absorption	Cofactor	General annotation (ENZYME REGULATION)	Kinetics	Pathway	Redox potential	Temperature dependence	pH dependence	Subcellular location [CC]	Intramembrane	Transmembrane	Subunit structure [CC]	Interacts with	Tissue specificity
SPGP0CZ00100	620.452633215157	-1.15054107615445	0.317828842375783	-3.62000209784017	0.000294600627308015	0.00118809511559854	S_cerevisiae	SPGP0CZ00100	P40103	P40103	YE18_YEAST	YER188W			YER188W		Uncharacterized protein YER188W	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	239																				
SPGP0CZ00110	146.398758446684	-1.16785614977135	0.223169167471638	-5.23305330661221	1.66732629197674e-07	1.26620774162945e-06	
SPGP0CZ00130	6961.13302566837	-2.45807845998955	0.240418204137683	-10.2241777772446	1.54533755323756e-24	6.86177179889106e-23	S_eubayanus	SPGP0CZ00130	XP_018220842.1	A0A0L8RFA0	A0A0L8RFA0_SACEU	DI49_3167				DI49_3167	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	294																				
SPGP0CZ00140	11208.0048160465	-2.51762974743142	0.307446738413506	-8.1888321873992	2.63773017357701e-16	5.993776945337e-15	S_eubayanus	SPGP0CZ00140	XP_018220843.1	A0A0L8RFB6	A0A0L8RFB6_SACEU	DI49_3168				DI49_3168	MFS domain-containing protein	unreviewed	Saccharomyces eubayanus (Yeast)	615		plasma membrane lactate transport [GO:0035879]; plasma membrane pyruvate transport [GO:0006849]; plasma membrane selenite transport [GO:0097080]	secondary active monocarboxylate transmembrane transporter activity [GO:0015355]; selenite:proton symporter activity [GO:0097079]; sialic acid transmembrane transporter activity [GO:0015136]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]													"TRANSMEM 140..164;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 176..198;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 205..224;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 230..251;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 263..284;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 296..315;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 363..382;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 402..420;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 432..450;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 456..477;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 489..509;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 532..554;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
SPGP0CZ00340	383.360256052976	1.32397027456314	0.180078284313466	7.35219285107398	1.94981207770531e-13	3.40747279362838e-12	S_eubayanus	SPGP0CZ00340	XP_018220860.1	A0A0L8RFK4	A0A0L8RFK4_SACEU	DI49_3187				DI49_3187	MST1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	462		mitochondrial threonyl-tRNA aminoacylation [GO:0070159]	ATP binding [GO:0005524]; threonine-tRNA ligase activity [GO:0004829]	mitochondrion [GO:0005739]																
SPGP0CZ00400	737.762527145274	-1.01700417395246	0.248494641121206	-4.09266038641212	4.26452081173126e-05	0.000210636348606681	S_eubayanus	SPGP0CZ00400	XP_018220866.1	A0A0L8RFD6	A0A0L8RFD6_SACEU	DI49_3194				DI49_3194	PXA2-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	858		fatty acid beta-oxidation [GO:0006635]; fatty-acyl-CoA transport [GO:0015916]; long-chain fatty acid catabolic process [GO:0042758]; long-chain fatty acid import into peroxisome [GO:0015910]; very long-chain fatty acid catabolic process [GO:0042760]	ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]; long-chain fatty acid transporter activity [GO:0005324]	integral component of peroxisomal membrane [GO:0005779]																
SPGP0CZ00410	1246.2622306276	-1.26523344878783	0.190689103060357	-6.63505899646171	3.24372769690628e-11	4.27729729487505e-10	S_eubayanus	SPGP0CZ00410	XP_018220867.1	A0A0L8RFD9	A0A0L8RFD9_SACEU	DI49_3195				DI49_3195	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	752		long-chain fatty acid transport [GO:0015909]		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]													"TRANSMEM 15..36;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 546..568;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 577..605;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 625..649;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
SPGP0CZ00570	406.998603003318	-1.60405904112572	0.230732769329737	-6.95202092786992	3.60089967470505e-12	5.41254401881831e-11	S_eubayanus	SPGP0CZ00570	XP_018220883.1	A0A0L8RFG9	A0A0L8RFG9_SACEU	DI49_3211				DI49_3211	MRPL38-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	138		translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	mitochondrial large ribosomal subunit [GO:0005762]																
SPGP0CZ00630	26.0945360602666	-4.09061409101753	0.917086519489318	-4.46044512059276	8.17896013579563e-06	4.64631136173821e-05	
SPGP0CZ00670	59.9727352823198	1.0641836241425	0.326983313624025	3.25455024706896	0.00113572067280672	0.00390833413026371	S_eubayanus	SPGP0CZ00670	XP_018220893.1	A0A0L8RFH7	A0A0L8RFH7_SACEU	DI49_3222				DI49_3222	Transcription elongation factor 1 homolog	unreviewed	Saccharomyces eubayanus (Yeast)	146		chromatin-mediated maintenance of transcription [GO:0048096]; transcription elongation from RNA polymerase II promoter [GO:0006368]	metal ion binding [GO:0046872]; RNA polymerase II complex binding [GO:0000993]	transcription elongation factor complex [GO:0008023]	FUNCTION: Transcription elongation factor implicated in the maintenance of proper chromatin structure in actively transcribed regions. {ECO:0000256|RuleBase:RU364033}.										SUBCELLULAR LOCATION: Nucleus {ECO:0000256|RuleBase:RU364033}.					
