""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	Parent	CBS1513	protein_ID	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Status	Organism	Length	EC number	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Function [CC]	Catalytic activity	Absorption	Cofactor	General annotation (ENZYME REGULATION)	Kinetics	Pathway	Redox potential	Temperature dependence	pH dependence	Subcellular location [CC]	Intramembrane	Transmembrane	Subunit structure [CC]	Interacts with	Tissue specificity
SPGP0CW00100	17962.2761747219	-1.3274397280025	0.135099955342273	-9.82561189335299	8.73419816712917e-23	1.11021630347236e-21	S_eubayanus	SPGP0CW00100	XP_018223054.1	A0A0L8RMF3	A0A0L8RMF3_SACEU	DI49_1040				DI49_1040	NOP1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	339		box C/D snoRNA 3'-end processing [GO:0000494]; histone glutamine methylation [GO:1990258]; regulation of transcription by RNA polymerase I [GO:0006356]	histone-glutamine methyltransferase activity [GO:1990259]; RNA binding [GO:0003723]; rRNA methyltransferase activity [GO:0008649]	box C/D snoRNP complex [GO:0031428]; small-subunit processome [GO:0032040]																
SPGP0CZ00100	620.452633215157	2.21264814140045	0.309787997058459	7.14245923796364	9.16757080316751e-13	5.56985679106318e-12	S_cerevisiae	SPGP0CZ00100	P40103	P40103	YE18_YEAST	YER188W			YER188W		Uncharacterized protein YER188W	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	239																				
SPGP0CZ00110	146.398758446684	1.68511167760447	0.201287418238233	8.3716691900239	5.68077341508225e-17	4.72937181340316e-16	
SPGP0CZ00120	88.1083967142087	2.11996006745359	0.322273952383855	6.57813035081577	4.76400506718773e-11	2.54181124860749e-10	
SPGP0CZ00130	6961.13302566837	1.36392896394247	0.239250613659055	5.70083789162664	1.19219969342803e-08	5.13858086145914e-08	S_eubayanus	SPGP0CZ00130	XP_018220842.1	A0A0L8RFA0	A0A0L8RFA0_SACEU	DI49_3167				DI49_3167	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	294																				
SPGP0CZ00140	11208.0048160465	4.91599771867477	0.301020652411921	16.3310978143375	5.9307473469023e-60	7.40622111253029e-58	S_eubayanus	SPGP0CZ00140	XP_018220843.1	A0A0L8RFB6	A0A0L8RFB6_SACEU	DI49_3168				DI49_3168	MFS domain-containing protein	unreviewed	Saccharomyces eubayanus (Yeast)	615		plasma membrane lactate transport [GO:0035879]; plasma membrane pyruvate transport [GO:0006849]; plasma membrane selenite transport [GO:0097080]	secondary active monocarboxylate transmembrane transporter activity [GO:0015355]; selenite:proton symporter activity [GO:0097079]; sialic acid transmembrane transporter activity [GO:0015136]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]													"TRANSMEM 140..164;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 176..198;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 205..224;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 230..251;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 263..284;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 296..315;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 363..382;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 402..420;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 432..450;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 456..477;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 489..509;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 532..554;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
SPGP0CZ00200	3542.2029418973	1.10568305850912	0.143344745168424	7.71345372451558	1.22457769918758e-14	8.63841413602475e-14	S_eubayanus	SPGP0CZ00200	XP_018220848.1	A0A0L8RFD8	A0A0L8RFD8_SACEU	DI49_3173				DI49_3173	TRP3-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	484		glutamine metabolic process [GO:0006541]; tryptophan biosynthetic process [GO:0000162]	anthranilate synthase activity [GO:0004049]; indole-3-glycerol-phosphate synthase activity [GO:0004425]	anthranilate synthase complex [GO:0005950]																
SPGP0CZ00260	1259.62926095096	-1.1694488665327	0.14639995403379	-7.9880412138844	1.37099621353897e-15	1.03086867447629e-14	S_cerevisiae	SPGP0CZ00260	P33418	P33418	XPOT_YEAST	LOS1 YKL205W	LOS1		YKL205W		Exportin-T (Exportin(tRNA)) (Karyopherin-beta) (tRNA exportin)	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1100		tRNA export from nucleus [GO:0006409]; tRNA re-export from nucleus [GO:0071528]	Ran GTPase binding [GO:0008536]; tRNA binding [GO:0000049]	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nuclear matrix [GO:0016363]; nuclear pore [GO:0005643]	FUNCTION: tRNA nucleus export receptor which facilitates tRNA translocation across the nuclear pore complex. Preferentially interacts with tRNAs with mature 5'- and 3'-termini and does not distinguish between intron-containing and spliced tRNAs. In the nucleus binds to tRNA and to the Ran-GTPases GSP1 or GSP2 in their active GTP-bound form. Docking of this trimeric complex to the nuclear pore complex (NPC) is mediated through binding to nucleoporins. Upon transit of a nuclear export complex into the cytoplasm, disassembling of the complex and hydrolysis of Ran-GTP to Ran-GDP cause release of the tRNA from the export receptor. The directionality of nuclear export is thought to be conferred by an asymmetric distribution of the GTP- and GDP-bound forms of Ran between the cytoplasm and nucleus. {ECO:0000269|PubMed:10713174, ECO:0000269|PubMed:10727409, ECO:0000269|PubMed:10766739, ECO:0000269|PubMed:14640976, ECO:0000269|PubMed:15905365, ECO:0000269|PubMed:16040803, ECO:0000269|PubMed:17203074, ECO:0000269|PubMed:18045534, ECO:0000269|PubMed:8641292, ECO:0000269|PubMed:8725220, ECO:0000269|PubMed:9774653, ECO:0000269|PubMed:9802895, ECO:0000269|PubMed:9971735}.										SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17544521, ECO:0000269|PubMed:8366091}. Cytoplasm {ECO:0000269|PubMed:17544521}. Note=Shuttles between the nucleus and the cytoplasm and the localization is regulated by SNF1 kinase, nutrient supply and stress. {ECO:0000269|PubMed:17544521}.			SUBUNIT: Interacts with CEX1, GSP1, GSP2, NSP1, NUP2 and UTP8. {ECO:0000269|PubMed:17203074, ECO:0000269|PubMed:17634288, ECO:0000269|PubMed:9774653}.	Q12453	
SPGP0CZ00290	4234.39613845911	1.2527780861764	0.109364638371656	11.4550562670821	2.21819165734685e-30	4.62715781163483e-29	S_eubayanus	SPGP0CZ00290	XP_018220856.1	A0A0L8RFC9	A0A0L8RFC9_SACEU	DI49_3182				DI49_3182	MNN4-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	1222		protein N-linked glycosylation [GO:0006487]; protein O-linked glycosylation [GO:0006493]	enzyme activator activity [GO:0008047]	integral component of membrane [GO:0016021]													"TRANSMEM 28..45;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
SPGP0CZ00370	699.899472939825	-1.529540836583	0.18626535919572	-8.21162261833036	2.18219207952331e-16	1.72503310580624e-15	S_eubayanus	SPGP0CZ00370	XP_018220863.1	A0A0L8RFF2	A0A0L8RFF2_SACEU	DI49_3190				DI49_3190	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2 (EC 2.5.1.108)	unreviewed	Saccharomyces eubayanus (Yeast)	536	2.5.1.108	peptidyl-diphthamide biosynthetic process from peptidyl-histidine [GO:0017183]	transferase activity [GO:0016740]	cytoplasm [GO:0005737]	FUNCTION: Required for the first step in the synthesis of diphthamide, a post-translational modification of histidine which occurs in translation elongation factor 2. {ECO:0000256|RuleBase:RU364133}.	CATALYTIC ACTIVITY: Reaction=L-histidyl-[translation elongation factor 2] + S-adenosyl-L-methionine = 2-[(3S)-amino-3-carboxypropyl]-L-histidyl-[translation elongation factor 2] + H(+) + S-methyl-5'-thioadenosine; Xref=Rhea:RHEA:36783, Rhea:RHEA-COMP:9748, Rhea:RHEA-COMP:9749, ChEBI:CHEBI:15378, ChEBI:CHEBI:17509, ChEBI:CHEBI:29979, ChEBI:CHEBI:59789, ChEBI:CHEBI:73995; EC=2.5.1.108; Evidence={ECO:0000256|RuleBase:RU364133};					PATHWAY: Protein modification; peptidyl-diphthamide biosynthesis. {ECO:0000256|RuleBase:RU364133, ECO:0000256|SAAS:SAAS00738906}.				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|RuleBase:RU364133}.					
