""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	Parent	CBS1513	protein_ID	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Status	Organism	Length	EC number	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Function [CC]	Catalytic activity	Absorption	Cofactor	General annotation (ENZYME REGULATION)	Kinetics	Pathway	Redox potential	Temperature dependence	pH dependence	Subcellular location [CC]	Intramembrane	Transmembrane	Subunit structure [CC]	Interacts with	Tissue specificity
SPGP0CZ00100	620.452633215157	2.08017598631122	0.317697034299279	6.54767203256809	5.84408835451019e-11	6.22765092740788e-10	S_cerevisiae	SPGP0CZ00100	P40103	P40103	YE18_YEAST	YER188W			YER188W		Uncharacterized protein YER188W	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	239																				
SPGP0CZ00110	146.398758446684	2.41909804663194	0.216930008005426	11.1515141168087	7.03981358740583e-29	5.64493370933489e-27	
SPGP0CZ00120	88.1083967142087	2.24413859685773	0.336846877034163	6.66219208150809	2.69773116605568e-11	2.96292631462188e-10	
SPGP0CZ00130	6961.13302566837	2.59022726418962	0.239545931811869	10.8130713997009	2.98505094441836e-27	2.04905656116475e-25	S_eubayanus	SPGP0CZ00130	XP_018220842.1	A0A0L8RFA0	A0A0L8RFA0_SACEU	DI49_3167				DI49_3167	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	294																				
SPGP0CZ00140	11208.0048160465	5.06445433948591	0.301956700341015	16.7721210814874	3.90323170122369e-63	2.21044890279924e-60	S_eubayanus	SPGP0CZ00140	XP_018220843.1	A0A0L8RFB6	A0A0L8RFB6_SACEU	DI49_3168				DI49_3168	MFS domain-containing protein	unreviewed	Saccharomyces eubayanus (Yeast)	615		plasma membrane lactate transport [GO:0035879]; plasma membrane pyruvate transport [GO:0006849]; plasma membrane selenite transport [GO:0097080]	secondary active monocarboxylate transmembrane transporter activity [GO:0015355]; selenite:proton symporter activity [GO:0097079]; sialic acid transmembrane transporter activity [GO:0015136]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]													"TRANSMEM 140..164;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 176..198;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 205..224;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 230..251;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 263..284;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 296..315;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 363..382;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 402..420;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 432..450;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 456..477;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 489..509;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 532..554;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
SPGP0CZ00320	19.933338103248	1.06244198953248	0.458014512263957	2.31966883381237	0.020358799052926	0.0450149043969161	S_eubayanus	SPGP0CZ00320	XP_018220859.1	A0A0L8RG33	A0A0L8RG33_SACEU	DI49_3186				DI49_3186	YKT6-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	200		endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intra-Golgi vesicle-mediated transport [GO:0006891]; vacuole fusion, non-autophagic [GO:0042144]; vesicle fusion [GO:0006906]	palmitoyltransferase activity [GO:0016409]; SNAP receptor activity [GO:0005484]	endosome [GO:0005768]; fungal-type vacuole [GO:0000324]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; SNARE complex [GO:0031201]																
SPGP0CZ00370	699.899472939825	-1.09714358929129	0.190885366038777	-5.74765688988652	9.04886246482807e-09	6.93083201976392e-08	S_eubayanus	SPGP0CZ00370	XP_018220863.1	A0A0L8RFF2	A0A0L8RFF2_SACEU	DI49_3190				DI49_3190	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2 (EC 2.5.1.108)	unreviewed	Saccharomyces eubayanus (Yeast)	536	2.5.1.108	peptidyl-diphthamide biosynthetic process from peptidyl-histidine [GO:0017183]	transferase activity [GO:0016740]	cytoplasm [GO:0005737]	FUNCTION: Required for the first step in the synthesis of diphthamide, a post-translational modification of histidine which occurs in translation elongation factor 2. {ECO:0000256|RuleBase:RU364133}.	CATALYTIC ACTIVITY: Reaction=L-histidyl-[translation elongation factor 2] + S-adenosyl-L-methionine = 2-[(3S)-amino-3-carboxypropyl]-L-histidyl-[translation elongation factor 2] + H(+) + S-methyl-5'-thioadenosine; Xref=Rhea:RHEA:36783, Rhea:RHEA-COMP:9748, Rhea:RHEA-COMP:9749, ChEBI:CHEBI:15378, ChEBI:CHEBI:17509, ChEBI:CHEBI:29979, ChEBI:CHEBI:59789, ChEBI:CHEBI:73995; EC=2.5.1.108; Evidence={ECO:0000256|RuleBase:RU364133};					PATHWAY: Protein modification; peptidyl-diphthamide biosynthesis. {ECO:0000256|RuleBase:RU364133, ECO:0000256|SAAS:SAAS00738906}.				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|RuleBase:RU364133}.					
SPGP0CZ00380	672.642890842821	-1.27311121256479	0.142205829135774	-8.9525951242776	3.47221462050426e-19	1.03153235004555e-17	S_eubayanus	SPGP0CZ00380	XP_018220864.1	A0A0L8RG37	A0A0L8RG37_SACEU	DI49_3191				DI49_3191	CNB1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	175		adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion [GO:0000754]; cellular ion homeostasis [GO:0006873]; fungal-type cell wall organization [GO:0031505]	calcium-dependent protein serine/threonine phosphatase activity [GO:0004723]; calcium-dependent protein serine/threonine phosphatase regulator activity [GO:0008597]; calcium ion binding [GO:0005509]	calcineurin complex [GO:0005955]; cell [GO:0005623]; cell division site [GO:0032153]; cytoplasm [GO:0005737]																
SPGP0CZ00410	1246.2622306276	1.77764652145871	0.17540964708774	10.1342574423488	3.89320207369137e-24	1.93825846097349e-22	S_eubayanus	SPGP0CZ00410	XP_018220867.1	A0A0L8RFD9	A0A0L8RFD9_SACEU	DI49_3195				DI49_3195	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	752		long-chain fatty acid transport [GO:0015909]		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]													"TRANSMEM 15..36;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 546..568;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 577..605;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 625..649;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
SPGP0CZ00470	7878.39884935983	-1.00848640284059	0.119626578747065	-8.43028709341343	3.44818204288007e-17	8.01127627962469e-16	S_eubayanus	SPGP0CZ00470	XP_018220873.1	A0A0L8RFG0	A0A0L8RFG0_SACEU	DI49_3201				DI49_3201	PRS1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	427		5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; fungal-type cell wall organization [GO:0031505]; nucleoside metabolic process [GO:0009116]; nucleotide biosynthetic process [GO:0009165]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]	cytoplasmic stress granule [GO:0010494]; ribose phosphate diphosphokinase complex [GO:0002189]																
